run_date,code,name,alias,action,reason,confidence,sources,seen_count
2026-05-16,1301,極洋,極洋,skip,duplicate,high,"kabutan,nikkei,tdnet",5
2026-05-16,130A,Veritas In Silico,Veritas In Silico,skip,duplicate,high,"kabutan,nikkei",5
2026-05-16,130A,Veritas In Silico,ウェリタス,skip,duplicate,high,kabutan,2
2026-05-16,130A,Veritas In Silico,VIS,review,new_candidate,low,tdnet,6
2026-05-16,1332,ニッスイ,ニッスイ,skip,duplicate,high,"kabutan,nikkei",4
2026-05-16,1333,マルハニチロ,Umios,skip,duplicate,high,"kabutan,nikkei,tdnet",11
2026-05-16,135A,VRAIN Solution,VRAIN Solution,skip,duplicate,high,"kabutan,nikkei",5
2026-05-16,135A,VRAIN Solution,ヴレインS,skip,duplicate,high,kabutan,2
2026-05-16,135A,VRAIN Solution,VRAIN,review,new_candidate,low,tdnet,3
2026-05-16,1375,ユキグニファクトリー,ユキグニファクトリー,skip,duplicate,high,"kabutan,nikkei,tdnet",7
2026-05-16,1375,ユキグニファクトリー,ユキグニ,skip,duplicate,high,kabutan,2
2026-05-16,1376,カネコ種苗,カネコ種苗,skip,duplicate,high,"kabutan,nikkei,tdnet",5
2026-05-16,1376,カネコ種苗,カネコ種,skip,duplicate,high,kabutan,2
2026-05-16,1377,サカタのタネ,サカタのタネ,skip,duplicate,high,"kabutan,nikkei,tdnet",6
2026-05-16,1377,サカタのタネ,サカタタネ,skip,duplicate,high,kabutan,2
2026-05-16,1379,ホクト,ホクト,skip,duplicate,high,"kabutan,nikkei,tdnet",7
2026-05-16,137A,Cocolive,Cocolive,skip,duplicate,high,"kabutan,nikkei,tdnet",9
2026-05-16,137A,Cocolive,ココリブ,skip,duplicate,high,kabutan,2
2026-05-16,1380,秋川牧園,秋川牧園,skip,duplicate,high,"kabutan,nikkei",4
2026-05-16,1381,アクシーズ,アクシーズ,skip,duplicate,high,"kabutan,nikkei,tdnet",6
2026-05-16,1382,ホーブ,ホーブ,skip,duplicate,high,"kabutan,nikkei,tdnet",6
2026-05-16,1383,ベルグアース,ベルグアース,skip,duplicate,high,"kabutan,nikkei",6
2026-05-16,1384,ホクリヨウ,ホクリヨウ,skip,duplicate,high,"kabutan,nikkei,tdnet",5
2026-05-16,138A,光フードサービス,光フードサービス,skip,duplicate,high,"kabutan,nikkei,tdnet",12
2026-05-16,138A,光フードサービス,光フードS,skip,duplicate,high,kabutan,2
2026-05-16,1401,エムビーエス,エムビーエス,skip,duplicate,high,"kabutan,nikkei,tdnet",5
2026-05-16,1407,ウエストﾎｰﾙﾃﾞｨﾝｸﾞｽ,ウエストHD,skip,duplicate,high,"kabutan,tdnet",5
2026-05-16,1407,ウエストﾎｰﾙﾃﾞｨﾝｸﾞｽ,ウエストホールディングス,skip,duplicate,high,"kabutan,nikkei",4
2026-05-16,1414,ショーボンドﾎｰﾙﾃﾞｨﾝｸﾞｽ,ショーボンド,skip,duplicate,high,"kabutan,tdnet",7
2026-05-16,1414,ショーボンドﾎｰﾙﾃﾞｨﾝｸﾞｽ,ショーボンドホールディングス,skip,duplicate,high,"kabutan,nikkei",4
2026-05-16,1417,ミライト・ワン,ミライト・ワン,skip,duplicate,high,"kabutan,nikkei",6
2026-05-16,1418,インターライフﾎｰﾙﾃﾞｨﾝｸﾞｽ,インターライフ,skip,duplicate,high,tdnet,6
2026-05-16,1418,インターライフﾎｰﾙﾃﾞｨﾝｸﾞｽ,インターライフホールディングス,skip,duplicate,high,"kabutan,nikkei",4
2026-05-16,1418,インターライフﾎｰﾙﾃﾞｨﾝｸﾞｽ,インタライフ,skip,duplicate,high,kabutan,2
2026-05-16,1419,タマホーム,タマホーム,skip,duplicate,high,"kabutan,nikkei,tdnet",12
2026-05-16,141A,トライアルﾎｰﾙﾃﾞｨﾝｸﾞｽ,トライアル,skip,duplicate,high,"kabutan,tdnet",6
2026-05-16,141A,トライアルﾎｰﾙﾃﾞｨﾝｸﾞｽ,トライアルホールディングス,skip,duplicate,high,"kabutan,nikkei",4
2026-05-16,1420,サンヨーホームズ,サンヨーH,skip,duplicate,high,"kabutan,tdnet",12
2026-05-16,1420,サンヨーホームズ,サンヨーホームズ,skip,duplicate,high,"kabutan,nikkei",4
2026-05-16,1429,日本アクア,日本アクア,skip,duplicate,high,"kabutan,nikkei,tdnet",12
2026-05-16,142A,ジンジブ,ジンジブ,skip,duplicate,high,"kabutan,nikkei,tdnet",9
2026-05-16,1430,ファーストｺｰﾎﾟﾚｰｼｮﾝ,ファーストコーポ,skip,duplicate,high,tdnet,4
