run_date,code,name,alias,action,reason,confidence,sources,seen_count
2026-08-12,5697,サンユウ,サンユウ,skip,duplicate,high,"kabutan,nikkei,tdnet",11
2026-08-12,5698,エンビプロ・ﾎｰﾙﾃﾞｨﾝｸﾞｽ,エンビプロ・ホールディングス,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5698,エンビプロ・ﾎｰﾙﾃﾞｨﾝｸﾞｽ,エンビプロ,skip,duplicate,high,kabutan,3
2026-08-12,5698,エンビプロ・ﾎｰﾙﾃﾞｨﾝｸﾞｽ,エンビプロHD,skip,duplicate,high,tdnet,3
2026-08-12,5699,イボキン,イボキン,skip,duplicate,high,"kabutan,nikkei,tdnet",8
2026-08-12,5702,大紀アルミニウム工業所,大紀アルミニウム工業所,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5702,大紀アルミニウム工業所,大紀アルミ,skip,duplicate,high,tdnet,4
2026-08-12,5702,大紀アルミニウム工業所,大紀ア,skip,duplicate,high,kabutan,3
2026-08-12,5703,日本軽金属ﾎｰﾙﾃﾞｨﾝｸﾞｽ,日本軽金属ホールディングス,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5703,日本軽金属ﾎｰﾙﾃﾞｨﾝｸﾞｽ,日軽金HD,skip,duplicate,high,"kabutan,tdnet",6
2026-08-12,5704,JMC,JMC,skip,duplicate,high,"kabutan,nikkei,tdnet",8
2026-08-12,5706,三井金属,三井金属,skip,duplicate,high,"kabutan,nikkei,tdnet",9
2026-08-12,5707,東邦亜鉛,東邦鉛,skip,duplicate,high,"kabutan,tdnet",12
2026-08-12,5707,東邦亜鉛,東邦亜鉛,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5711,三菱マテリアル,三菱マ,skip,duplicate,high,"kabutan,tdnet",17
2026-08-12,5711,三菱マテリアル,三菱マテリアル,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5713,住友金属鉱山,住友鉱,skip,duplicate,high,"kabutan,tdnet",14
2026-08-12,5713,住友金属鉱山,住友金属鉱山,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5714,DOWAﾎｰﾙﾃﾞｨﾝｸﾞｽ,DOWA,skip,duplicate,high,"kabutan,tdnet",8
2026-08-12,5714,DOWAﾎｰﾙﾃﾞｨﾝｸﾞｽ,DOWAホールディングス,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5715,古河機械金属,古河機金,skip,duplicate,high,"kabutan,tdnet",7
2026-08-12,5715,古河機械金属,古河機械金属,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5721,エスクリプトエナジー,エスクリプトエナジー,skip,duplicate,high,"kabutan,nikkei,tdnet",20
2026-08-12,5721,エスクリプトエナジー,Sクリプトエ,skip,duplicate,high,kabutan,3
2026-08-12,5724,アサカ理研,アサカ理研,skip,duplicate,high,"kabutan,nikkei,tdnet",8
2026-08-12,5726,大阪チタニウムテクノロジーズ,大阪チタ,skip,duplicate,high,"kabutan,tdnet",8
2026-08-12,5726,大阪チタニウムテクノロジーズ,大阪チタニウムテクノロジーズ,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5727,東邦チタニウム,東邦チタニウム,skip,duplicate,high,kabutan,3
2026-08-12,5727,東邦チタニウム,邦チタ,skip,duplicate,high,kabutan,3
2026-08-12,5729,日本精鉱,日精鉱,skip,duplicate,high,"kabutan,tdnet",7
2026-08-12,5729,日本精鉱,日本精鉱,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5741,UACJ,UACJ,skip,duplicate,high,"kabutan,nikkei,tdnet",9
2026-08-12,5742,エヌアイシ・オートテック,NIC,skip,duplicate,high,kabutan,6
2026-08-12,5742,エヌアイシ・オートテック,エヌアイシ・オートテック,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5753,日本伸銅,日伸銅,skip,duplicate,high,kabutan,7
2026-08-12,5753,日本伸銅,日本伸銅,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5757,CKサンエツ,CKサンエツ,skip,duplicate,high,"kabutan,nikkei,tdnet",9
2026-08-12,5801,古河電気工業,古河電気工業,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5801,古河電気工業,古河電工,skip,duplicate,high,tdnet,5
2026-08-12,5801,古河電気工業,古河電,skip,duplicate,high,kabutan,3
2026-08-12,5802,住友電気工業,住友電気工業,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5802,住友電気工業,住友電,skip,duplicate,high,kabutan,3
2026-08-12,5802,住友電気工業,住友電工,skip,duplicate,high,tdnet,3
2026-08-12,5803,フジクラ,フジクラ,skip,duplicate,high,"kabutan,nikkei,tdnet",15
2026-08-12,5805,SWCC,SWCC,skip,duplicate,high,"kabutan,nikkei,tdnet",12
2026-08-12,5816,オーナンバ,オーナンバ,skip,duplicate,high,"kabutan,nikkei,tdnet",8
2026-08-12,5817,JMACS,JMACS,skip,duplicate,high,"kabutan,nikkei,tdnet",9
