run_date,code,name,alias,action,reason,confidence,sources,seen_count
2026-04-01,1301,極洋,極洋,skip,duplicate,high,"kabutan,nikkei",2
2026-04-01,1301,極洋,Kyokuyo,skip,duplicate,high,reuters,1
2026-04-01,1301,極洋,Kyokuyo Co Ltd,skip,duplicate,high,reuters,1
2026-04-01,130A,Veritas In Silico,Veritas In Silico,skip,duplicate,high,"kabutan,nikkei,reuters",3
2026-04-01,130A,Veritas In Silico,ウェリタス,skip,duplicate,high,kabutan,1
2026-04-01,130A,Veritas In Silico,Veritas In Silico Inc,add,new_candidate,medium,reuters,1
2026-04-01,1332,ニッスイ,ニッスイ,skip,duplicate,high,"kabutan,nikkei",2
2026-04-01,1332,ニッスイ,Nissui,skip,duplicate,high,reuters,1
2026-04-01,1332,ニッスイ,Nissui Corp,skip,duplicate,high,reuters,1
2026-04-01,1333,マルハニチロ,Umios,skip,duplicate,high,"kabutan,nikkei,reuters,tdnet",4
2026-04-01,1333,マルハニチロ,Umios Corp,skip,duplicate,high,reuters,1
2026-04-01,1333,マルハニチロ,マルハニチロ,skip,duplicate,high,tdnet,1
2026-04-01,135A,VRAIN Solution,VRAIN Solution,skip,duplicate,high,"kabutan,nikkei,reuters",3
2026-04-01,135A,VRAIN Solution,ヴレインS,skip,duplicate,high,kabutan,1
2026-04-01,135A,VRAIN Solution,Vrain Solution Inc,add,new_candidate,medium,reuters,1
2026-04-01,1375,ユキグニファクトリー,ユキグニファクトリー,skip,duplicate,high,"kabutan,nikkei",2
2026-04-01,1375,ユキグニファクトリー,Yukiguni Factory,skip,duplicate,high,reuters,1
2026-04-01,1375,ユキグニファクトリー,Yukiguni Factory Co Ltd,skip,duplicate,high,reuters,1
2026-04-01,1375,ユキグニファクトリー,ユキグニ,skip,duplicate,high,kabutan,1
2026-04-01,1376,カネコ種苗,カネコ種苗,skip,duplicate,high,"kabutan,nikkei",2
2026-04-01,1376,カネコ種苗,Kaneko Seeds,skip,duplicate,high,reuters,1
2026-04-01,1376,カネコ種苗,Kaneko Seeds Co Ltd,skip,duplicate,high,reuters,1
2026-04-01,1376,カネコ種苗,カネコ種,skip,duplicate,high,kabutan,1
2026-04-01,1377,サカタのタネ,サカタのタネ,skip,duplicate,high,"kabutan,nikkei",2
2026-04-01,1377,サカタのタネ,Sakata Seed,skip,duplicate,high,reuters,1
2026-04-01,1377,サカタのタネ,Sakata Seed Corp,skip,duplicate,high,reuters,1
2026-04-01,1377,サカタのタネ,サカタタネ,skip,duplicate,high,kabutan,1
2026-04-01,1379,ホクト,ホクト,skip,duplicate,high,"kabutan,nikkei,tdnet",3
2026-04-01,1379,ホクト,Hokuto,skip,duplicate,high,reuters,1
2026-04-01,1379,ホクト,Hokuto Corp,skip,duplicate,high,reuters,1
2026-04-01,137A,Cocolive,Cocolive,skip,duplicate,high,"kabutan,nikkei,reuters",3
2026-04-01,137A,Cocolive,ココリブ,skip,duplicate,high,kabutan,1
2026-04-01,137A,Cocolive,Cocolive Inc,add,new_candidate,medium,reuters,1
2026-04-01,1380,秋川牧園,秋川牧園,add,exists_in_base,high,"kabutan,nikkei",2
2026-04-01,1380,秋川牧園,Akikawa Foods & Farms,skip,duplicate,high,reuters,1
2026-04-01,1380,秋川牧園,Akikawa Foods & Farms Co Ltd,skip,duplicate,high,reuters,1
2026-04-01,1381,アクシーズ,アクシーズ,skip,duplicate,high,"kabutan,nikkei",2
2026-04-01,1381,アクシーズ,Axyz,skip,duplicate,high,reuters,1
2026-04-01,1381,アクシーズ,Axyz Co Ltd,skip,duplicate,high,reuters,1
