run_date,code,name,alias,action,reason,confidence,sources,seen_count
2026-06-17,1301,極洋,極洋,skip,duplicate,high,"kabutan,nikkei,tdnet",3
2026-06-17,130A,Veritas In Silico,VIS,skip,duplicate,high,tdnet,4
2026-06-17,130A,Veritas In Silico,Veritas In Silico,skip,duplicate,high,"kabutan,nikkei",2
2026-06-17,130A,Veritas In Silico,ウェリタス,skip,duplicate,high,kabutan,1
2026-06-17,1332,ニッスイ,ニッスイ,skip,duplicate,high,"kabutan,nikkei,tdnet",4
2026-06-17,1333,Umios,Umios,skip,duplicate,high,"kabutan,nikkei,tdnet",7
2026-06-17,135A,VRAIN Solution,VRAIN,skip,duplicate,high,tdnet,2
2026-06-17,135A,VRAIN Solution,VRAIN Solution,skip,duplicate,high,"kabutan,nikkei",2
2026-06-17,135A,VRAIN Solution,ヴレインS,skip,duplicate,high,kabutan,1
2026-06-17,1375,ユキグニファクトリー,ユキグニファクトリー,skip,duplicate,high,"kabutan,nikkei,tdnet",6
2026-06-17,1375,ユキグニファクトリー,ユキグニ,skip,duplicate,high,kabutan,1
2026-06-17,1376,カネコ種苗,カネコ種苗,skip,duplicate,high,"kabutan,nikkei,tdnet",3
2026-06-17,1376,カネコ種苗,カネコ種,skip,duplicate,high,kabutan,1
2026-06-17,1377,サカタのタネ,サカタのタネ,skip,duplicate,high,"kabutan,nikkei",2
2026-06-17,1377,サカタのタネ,サカタタネ,skip,duplicate,high,kabutan,1
2026-06-17,1379,ホクト,ホクト,skip,duplicate,high,"kabutan,nikkei,tdnet",4
2026-06-17,137A,Cocolive,Cocolive,skip,duplicate,high,"kabutan,nikkei,tdnet",3
2026-06-17,137A,Cocolive,ココリブ,skip,duplicate,high,kabutan,1
2026-06-17,1380,秋川牧園,秋川牧園,skip,duplicate,high,"kabutan,nikkei,tdnet",4
2026-06-17,1381,アクシーズ,アクシーズ,skip,duplicate,high,"kabutan,nikkei",2
2026-06-17,1382,ホーブ,ホーブ,skip,duplicate,high,"kabutan,nikkei",2
2026-06-17,1383,ベルグアース,ベルグアース,skip,duplicate,high,"kabutan,nikkei,tdnet",3
2026-06-17,1384,ホクリヨウ,ホクリヨウ,skip,duplicate,high,"kabutan,nikkei",2
2026-06-17,138A,光フードサービス,光フードサービス,skip,duplicate,high,"kabutan,nikkei,tdnet",4
2026-06-17,138A,光フードサービス,光フードS,skip,duplicate,high,kabutan,1
2026-06-17,1401,エムビーエス,エムビーエス,skip,duplicate,high,"kabutan,nikkei,tdnet",3
2026-06-17,1407,ウエストﾎｰﾙﾃﾞｨﾝｸﾞｽ,ウエストホールディングス,skip,duplicate,high,"kabutan,nikkei",2
2026-06-17,1407,ウエストﾎｰﾙﾃﾞｨﾝｸﾞｽ,ウエストHD,skip,duplicate,high,kabutan,1
2026-06-17,1414,ショーボンドﾎｰﾙﾃﾞｨﾝｸﾞｽ,ショーボンド,skip,duplicate,high,"kabutan,tdnet",3
2026-06-17,1414,ショーボンドﾎｰﾙﾃﾞｨﾝｸﾞｽ,ショーボンドホールディングス,skip,duplicate,high,"kabutan,nikkei",2
2026-06-17,1417,ミライト・ワン,ミライト・ワン,skip,duplicate,high,"kabutan,nikkei,tdnet",5
2026-06-17,1418,インターライフﾎｰﾙﾃﾞｨﾝｸﾞｽ,インターライフホールディングス,skip,duplicate,high,"kabutan,nikkei",2
2026-06-17,1418,インターライフﾎｰﾙﾃﾞｨﾝｸﾞｽ,インタライフ,skip,duplicate,high,kabutan,1
